"Artwork","Subject2Broader","Type"
"http://icondataset.org/ART1535","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1535","http://icondataset.org/story-of-saturn","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1004test","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1004test","http://icondataset.org/love-affairs-of-pluto","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1162","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1202","http://icondataset.org/venus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1202","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1202","http://icondataset.org/story-of-venus","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1001","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1001","http://icondataset.org/story-of-hercules","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1329","http://icondataset.org/venus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1187","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1017test","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1526","http://icondataset.org/bible","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1317","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1316","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1204","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1267","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1267","http://icondataset.org/story-of-saturn","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1539","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1232","http://icondataset.org/the-story-of-the-magi","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1232","http://icondataset.org/bible","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1232","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1197","http://icondataset.org/story-of-bacchus","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1197","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1326","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1263","http://icondataset.org/story-of-saturn","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1263","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1266","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1266","http://icondataset.org/story-of-saturn","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1311","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1042","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1534","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1534","http://icondataset.org/story-of-saturn","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1264","http://icondataset.org/bible","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1264","http://icondataset.org/passion-of-christ","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1264","http://icondataset.org/bible","https://w3id.org/icon/ontology/Event"
"http://icondataset.org/ART1264","http://icondataset.org/passion-of-christ","https://w3id.org/icon/ontology/Event"
"http://icondataset.org/ART1264","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1233","http://icondataset.org/bible","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1233","http://icondataset.org/public-life-of-christ","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1233","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1379","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1538","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1512","http://icondataset.org/love-affairs-of-jupiter","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1512","http://icondataset.org/love-affairs-of-jupiter","https://w3id.org/icon/ontology/Event"
"http://icondataset.org/ART1512","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Event"
"http://icondataset.org/ART1512","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1061","http://icondataset.org/bible","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1268","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1268","http://icondataset.org/story-of-saturn","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1516","http://icondataset.org/apollo","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1166","http://icondataset.org/legend","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1378","http://icondataset.org/jupiter","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1378","http://icondataset.org/love-affairs-of-jupiter","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1378","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1004","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1459","http://icondataset.org/sol","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1314","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1310","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1066","http://icondataset.org/love-affairs-of-jupiter","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1066","http://icondataset.org/love-affairs-of-jupiter","https://w3id.org/icon/ontology/Event"
"http://icondataset.org/ART1066","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Event"
"http://icondataset.org/ART1066","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1005test","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1005test","http://icondataset.org/love-affairs-of-pluto","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1517","http://icondataset.org/apollo","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1323","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1120","http://icondataset.org/story-of-pygmalion","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1120","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1339","http://icondataset.org/venus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1339","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1315","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1107","http://icondataset.org/bible","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1107","http://icondataset.org/the-annunciation","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1353","http://icondataset.org/story","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1009test","http://icondataset.org/bible","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1113","http://icondataset.org/bible","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1113","http://icondataset.org/birth-and-youth-of-christ","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1019","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1019","http://icondataset.org/story-of-perseus","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1193","http://icondataset.org/classical-mythology-and-ancient-history","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1458","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1008test","http://icondataset.org/bible","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1040","http://icondataset.org/bible","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1040","http://icondataset.org/passion-of-christ","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1040","http://icondataset.org/bible","https://w3id.org/icon/ontology/Event"
"http://icondataset.org/ART1040","http://icondataset.org/passion-of-christ","https://w3id.org/icon/ontology/Event"
"http://icondataset.org/ART1039","http://icondataset.org/bible","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1039","http://icondataset.org/passion-of-christ","https://w3id.org/icon/ontology/Story"
"http://icondataset.org/ART1039","http://icondataset.org/bible","https://w3id.org/icon/ontology/Event"
"http://icondataset.org/ART1039","http://icondataset.org/passion-of-christ","https://w3id.org/icon/ontology/Event"
