"artwork","subject2","subject1"
"http://icondataset.org/ART1388","http://icondataset.org/devil","http://icondataset.org/winged-creature"
"http://icondataset.org/ART1380","http://icondataset.org/tityus","http://icondataset.org/fettered-man"
"http://icondataset.org/ART1037","http://icondataset.org/mars","http://icondataset.org/spear"
"http://icondataset.org/ART1037","http://icondataset.org/mars","http://icondataset.org/man"
"http://icondataset.org/ART1037","http://icondataset.org/mars","http://icondataset.org/cloak"
"http://icondataset.org/ART1037","http://icondataset.org/mars","http://icondataset.org/helmet"
"http://icondataset.org/ART1037","http://icondataset.org/mars","http://icondataset.org/shield"
"http://icondataset.org/ART1037","http://icondataset.org/mars","http://icondataset.org/backward-turning-movement"
"http://icondataset.org/ART1415","http://icondataset.org/serapis","http://icondataset.org/woman"
"http://icondataset.org/ART1415","http://icondataset.org/serapis","http://icondataset.org/throne"
"http://icondataset.org/ART1415","http://icondataset.org/serapis","http://icondataset.org/sceptre"
"http://icondataset.org/ART1415","http://icondataset.org/serapis","http://icondataset.org/modius"
"http://icondataset.org/ART1296","http://icondataset.org/dieu-amour","http://icondataset.org/wings"
"http://icondataset.org/ART1296","http://icondataset.org/dieu-amour","http://icondataset.org/clothes"
"http://icondataset.org/ART1296","http://icondataset.org/dieu-amour","http://icondataset.org/boy"
"http://icondataset.org/ART1296","http://icondataset.org/dieu-amour","http://icondataset.org/crown"
"http://icondataset.org/ART1295","http://icondataset.org/dieu-amour","http://icondataset.org/boy"
"http://icondataset.org/ART1295","http://icondataset.org/dieu-amour","http://icondataset.org/arrow"
"http://icondataset.org/ART1295","http://icondataset.org/dieu-amour","http://icondataset.org/wings"
"http://icondataset.org/ART1295","http://icondataset.org/dieu-amour","http://icondataset.org/clothes"
"http://icondataset.org/ART1295","http://icondataset.org/dieu-amour","http://icondataset.org/bow"
"http://icondataset.org/ART1295","http://icondataset.org/dieu-amour","http://icondataset.org/crown"
"http://icondataset.org/ART1447","http://icondataset.org/hercules","http://icondataset.org/drawing-the-bow"
"http://icondataset.org/ART1447","http://icondataset.org/hercules","http://icondataset.org/bow"
"http://icondataset.org/ART1447","http://icondataset.org/hercules","http://icondataset.org/man"
"http://icondataset.org/ART1237","http://icondataset.org/hercules","http://icondataset.org/supporting"
"http://icondataset.org/ART1237","http://icondataset.org/hercules","http://icondataset.org/man"
"http://icondataset.org/ART1237","http://icondataset.org/hercules","http://icondataset.org/sphere"
"http://icondataset.org/ART1003","http://icondataset.org/hercules","http://icondataset.org/man"
"http://icondataset.org/ART1003","http://icondataset.org/hercules","http://icondataset.org/lion-skin"
"http://icondataset.org/ART1003","http://icondataset.org/hercules","http://icondataset.org/carrying-on-shoulders"
"http://icondataset.org/ART1392","http://icondataset.org/hercules","http://icondataset.org/figure"
"http://icondataset.org/ART1537","http://icondataset.org/christ","http://icondataset.org/man"
"http://icondataset.org/ART1543","http://icondataset.org/christ","http://icondataset.org/dead-body-of-a-man"
"http://icondataset.org/ART1308","http://icondataset.org/anteros","http://icondataset.org/wings"
"http://icondataset.org/ART1308","http://icondataset.org/anteros","http://icondataset.org/putto"
"http://icondataset.org/ART1389","http://icondataset.org/ganymede","http://icondataset.org/cloth"
"http://icondataset.org/ART1389","http://icondataset.org/ganymede","http://icondataset.org/man"
"http://icondataset.org/ART1006test","http://icondataset.org/laocoon","http://icondataset.org/wiggling-out-of-serpents"
"http://icondataset.org/ART1006test","http://icondataset.org/laocoon","http://icondataset.org/bear"
"http://icondataset.org/ART1006test","http://icondataset.org/laocoon","http://icondataset.org/man"
"http://icondataset.org/ART1373","http://icondataset.org/christ-as-a-child","http://icondataset.org/child"
"http://icondataset.org/ART1372","http://icondataset.org/christ-as-a-child","http://icondataset.org/child"
"http://icondataset.org/ART1006test","http://icondataset.org/marine-snakes","http://icondataset.org/grabbing"
"http://icondataset.org/ART1006test","http://icondataset.org/marine-snakes","http://icondataset.org/serpent"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/lifting-with-one-hand"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/sword"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/cloth"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/cutten-head"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/man"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/wings-at-the-heels"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/running"
"http://icondataset.org/ART1006test","http://icondataset.org/antiphas-son-of-laoocoon","http://icondataset.org/wiggling-out-of-serpents"
"http://icondataset.org/ART1006test","http://icondataset.org/antiphas-son-of-laoocoon","http://icondataset.org/boy"
"http://icondataset.org/ART1006test","http://icondataset.org/antiphas-son-of-laoocoon","http://icondataset.org/cloth"
"http://icondataset.org/ART1373","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1372","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1363","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1199","http://icondataset.org/mary","http://icondataset.org/dais"
"http://icondataset.org/ART1199","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1332","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1370","http://icondataset.org/mary","http://icondataset.org/sketch-of-a-human-figure"
"http://icondataset.org/ART1002test","http://icondataset.org/venus","http://icondataset.org/earring"
"http://icondataset.org/ART1002test","http://icondataset.org/venus","http://icondataset.org/woman"
"http://icondataset.org/ART1002test","http://icondataset.org/venus","http://icondataset.org/knotted-ribbon-bracelet"
"http://icondataset.org/ART1002test","http://icondataset.org/venus","http://icondataset.org/tiara"
"http://icondataset.org/ART1002test","http://icondataset.org/venus","http://icondataset.org/rose"
"http://icondataset.org/ART1002test","http://icondataset.org/venus","http://icondataset.org/veil"
"http://icondataset.org/ART1002test","http://icondataset.org/venus","http://icondataset.org/rose-petal"
"http://icondataset.org/ART1002test","http://icondataset.org/venus","http://icondataset.org/touching-breast"
"http://icondataset.org/ART1002test","http://icondataset.org/venus","http://icondataset.org/holding-a-wreath"
"http://icondataset.org/ART1002test","http://icondataset.org/venus","http://icondataset.org/belt"
"http://icondataset.org/ART1210","http://icondataset.org/venus","http://icondataset.org/holding-with-a-hand"
"http://icondataset.org/ART1210","http://icondataset.org/venus","http://icondataset.org/woman"
"http://icondataset.org/ART1210","http://icondataset.org/venus","http://icondataset.org/seashell"
"http://icondataset.org/ART1373","http://icondataset.org/david","http://icondataset.org/man"
"http://icondataset.org/ART1006test","http://icondataset.org/thymbraeus-son-of-laoocoon","http://icondataset.org/boy"
"http://icondataset.org/ART1006test","http://icondataset.org/thymbraeus-son-of-laoocoon","http://icondataset.org/cloth"
"http://icondataset.org/ART1006test","http://icondataset.org/thymbraeus-son-of-laoocoon","http://icondataset.org/wiggling-out-of-serpents"
"http://icondataset.org/ART1286","http://icondataset.org/pluto","http://icondataset.org/figure"
"http://icondataset.org/ART1286","http://icondataset.org/proserpina","http://icondataset.org/woman"
"http://icondataset.org/ART1478","http://icondataset.org/satyr","http://icondataset.org/human-figure-with-animal-legs"
"http://icondataset.org/ART1457","http://icondataset.org/eve","http://icondataset.org/woman"
"http://icondataset.org/ART1332","http://icondataset.org/eve","http://icondataset.org/woman"
"http://icondataset.org/ART1015test","http://icondataset.org/saturn","http://icondataset.org/bear"
"http://icondataset.org/ART1015test","http://icondataset.org/saturn","http://icondataset.org/wings"
"http://icondataset.org/ART1015test","http://icondataset.org/saturn","http://icondataset.org/man"
"http://icondataset.org/ART1533","http://icondataset.org/lapiths","http://icondataset.org/people"
"http://icondataset.org/ART1415","http://icondataset.org/companion-of-serapis","http://icondataset.org/twisting-around"
"http://icondataset.org/ART1415","http://icondataset.org/companion-of-serapis","http://icondataset.org/head-of-a-lion"
"http://icondataset.org/ART1415","http://icondataset.org/companion-of-serapis","http://icondataset.org/three-headed-figure"
"http://icondataset.org/ART1415","http://icondataset.org/companion-of-serapis","http://icondataset.org/head-of-a-dog"
"http://icondataset.org/ART1415","http://icondataset.org/companion-of-serapis","http://icondataset.org/head-of-a-wolf"
"http://icondataset.org/ART1415","http://icondataset.org/companion-of-serapis","http://icondataset.org/serpent"
"http://icondataset.org/ART1313","http://icondataset.org/blindfold-cupid","http://icondataset.org/standing-on-a-horse"
"http://icondataset.org/ART1313","http://icondataset.org/blindfold-cupid","http://icondataset.org/wings"
"http://icondataset.org/ART1313","http://icondataset.org/blindfold-cupid","http://icondataset.org/arrow"
"http://icondataset.org/ART1313","http://icondataset.org/blindfold-cupid","http://icondataset.org/spear"
"http://icondataset.org/ART1313","http://icondataset.org/blindfold-cupid","http://icondataset.org/boy"
"http://icondataset.org/ART1313","http://icondataset.org/blindfold-cupid","http://icondataset.org/bow"
"http://icondataset.org/ART1313","http://icondataset.org/blindfold-cupid","http://icondataset.org/griffon-claws"
"http://icondataset.org/ART1313","http://icondataset.org/blindfold-cupid","http://icondataset.org/horse"
"http://icondataset.org/ART1313","http://icondataset.org/blindfold-cupid","http://icondataset.org/band"
"http://icondataset.org/ART1322","http://icondataset.org/blindfold-cupid","http://icondataset.org/bandage"
"http://icondataset.org/ART1322","http://icondataset.org/blindfold-cupid","http://icondataset.org/child"
"http://icondataset.org/ART1322","http://icondataset.org/blindfold-cupid","http://icondataset.org/running"
"http://icondataset.org/ART1322","http://icondataset.org/blindfold-cupid","http://icondataset.org/wings"
"http://icondataset.org/ART1390","http://icondataset.org/phaeton","http://icondataset.org/man"
"http://icondataset.org/ART1390","http://icondataset.org/phaeton","http://icondataset.org/falling-off"
"http://icondataset.org/ART1308","http://icondataset.org/cupid","http://icondataset.org/wings"
"http://icondataset.org/ART1308","http://icondataset.org/cupid","http://icondataset.org/putto"
"http://icondataset.org/ART1002test","http://icondataset.org/cupid","http://icondataset.org/bow"
"http://icondataset.org/ART1002test","http://icondataset.org/cupid","http://icondataset.org/holding-a-wreath"
"http://icondataset.org/ART1002test","http://icondataset.org/cupid","http://icondataset.org/putto"
"http://icondataset.org/ART1002test","http://icondataset.org/cupid","http://icondataset.org/wings"
"http://icondataset.org/ART1293","http://icondataset.org/cupid","http://icondataset.org/torch"
"http://icondataset.org/ART1293","http://icondataset.org/cupid","http://icondataset.org/wings"
"http://icondataset.org/ART1293","http://icondataset.org/cupid","http://icondataset.org/boy"
"http://icondataset.org/ART1293","http://icondataset.org/cupid","http://icondataset.org/arrow"
"http://icondataset.org/ART1293","http://icondataset.org/cupid","http://icondataset.org/mantle"
"http://icondataset.org/ART1023","http://icondataset.org/mercurys-winged-sandals","http://icondataset.org/wings-at-the-heels"
"http://icondataset.org/ART1023","http://icondataset.org/medusas-head","http://icondataset.org/cutten-head"
"http://icondataset.org/ART1023","http://icondataset.org/medusas-head","http://icondataset.org/serpent-locks"
"http://icondataset.org/ART1023","http://icondataset.org/medusas-head","http://icondataset.org/drops-of-blood"
"http://icondataset.org/ART1134","http://icondataset.org/luxury","http://icondataset.org/embracing"
"http://icondataset.org/ART1134","http://icondataset.org/luxury","http://icondataset.org/lover"
"http://icondataset.org/ART1023","http://icondataset.org/the-constellation-perseus","http://icondataset.org/drops-of-blood"
"http://icondataset.org/ART1023","http://icondataset.org/the-constellation-perseus","http://icondataset.org/grabbing-with-one-hand"
"http://icondataset.org/ART1023","http://icondataset.org/the-constellation-perseus","http://icondataset.org/man"
"http://icondataset.org/ART1023","http://icondataset.org/the-constellation-perseus","http://icondataset.org/wings-at-the-heels"
"http://icondataset.org/ART1023","http://icondataset.org/the-constellation-perseus","http://icondataset.org/running"
"http://icondataset.org/ART1023","http://icondataset.org/the-constellation-perseus","http://icondataset.org/lifting-with-one-hand"
"http://icondataset.org/ART1023","http://icondataset.org/the-constellation-perseus","http://icondataset.org/sword"
"http://icondataset.org/ART1023","http://icondataset.org/the-constellation-perseus","http://icondataset.org/serpent-locks"
"http://icondataset.org/ART1023","http://icondataset.org/the-constellation-perseus","http://icondataset.org/cloth"
"http://icondataset.org/ART1023","http://icondataset.org/the-constellation-perseus","http://icondataset.org/cutten-head"
"http://icondataset.org/ART1134","http://icondataset.org/faith","http://icondataset.org/woman"
"http://icondataset.org/ART1302","http://icondataset.org/blind-night","http://icondataset.org/veil"
"http://icondataset.org/ART1302","http://icondataset.org/blind-night","http://icondataset.org/figure"
"http://icondataset.org/ART1299","http://icondataset.org/blind-night","http://icondataset.org/veil"
"http://icondataset.org/ART1299","http://icondataset.org/blind-night","http://icondataset.org/covering-her-eyes"
"http://icondataset.org/ART1299","http://icondataset.org/blind-night","http://icondataset.org/woman"
"http://icondataset.org/ART1322","http://icondataset.org/platonic-love","http://icondataset.org/wings"
"http://icondataset.org/ART1322","http://icondataset.org/platonic-love","http://icondataset.org/boy"
"http://icondataset.org/ART1322","http://icondataset.org/platonic-love","http://icondataset.org/torch"
"http://icondataset.org/ART1302","http://icondataset.org/day","http://icondataset.org/figure"
"http://icondataset.org/ART1015test","http://icondataset.org/truth","http://icondataset.org/woman"
"http://icondataset.org/ART1134","http://icondataset.org/chastity","http://icondataset.org/woman"
"http://icondataset.org/ART1509","http://icondataset.org/chastity","http://icondataset.org/lilium"
"http://icondataset.org/ART1509","http://icondataset.org/chastity","http://icondataset.org/woman"
"http://icondataset.org/ART1390","http://icondataset.org/phaeton-the-presumptuous","http://icondataset.org/man"
"http://icondataset.org/ART1390","http://icondataset.org/phaeton-the-presumptuous","http://icondataset.org/falling-off"
"http://icondataset.org/ART1271","http://icondataset.org/four-wings-four-seasons","http://icondataset.org/wings"
"http://icondataset.org/ART1390","http://icondataset.org/fall-of-phaeton-fate-of-every-temerarius","http://icondataset.org/cloud"
"http://icondataset.org/ART1390","http://icondataset.org/fall-of-phaeton-fate-of-every-temerarius","http://icondataset.org/falling-off"
"http://icondataset.org/ART1390","http://icondataset.org/fall-of-phaeton-fate-of-every-temerarius","http://icondataset.org/horse"
"http://icondataset.org/ART1390","http://icondataset.org/fall-of-phaeton-fate-of-every-temerarius","http://icondataset.org/man"
"http://icondataset.org/ART1390","http://icondataset.org/fall-of-phaeton-fate-of-every-temerarius","http://icondataset.org/sun"
"http://icondataset.org/ART1360","http://icondataset.org/slave-human-soul-in-so-far-as-it-is-devoid-of-freedom","http://icondataset.org/slave"
"http://icondataset.org/ART1237","http://icondataset.org/hercules","http://icondataset.org/effort"
"http://icondataset.org/ART1006test","http://icondataset.org/laocoon","http://icondataset.org/pathos"
"http://icondataset.org/ART1006test","http://icondataset.org/laocoon","http://icondataset.org/despair"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/grace"
"http://icondataset.org/ART1006test","http://icondataset.org/antiphas-son-of-laoocoon","http://icondataset.org/despair"
"http://icondataset.org/ART1006test","http://icondataset.org/thymbraeus-son-of-laoocoon","http://icondataset.org/despair"
"http://icondataset.org/ART1002test","http://icondataset.org/cupid","http://icondataset.org/playful-attitude"
"http://icondataset.org/ART1023","http://icondataset.org/the-constellation-perseus","http://icondataset.org/grace"
"http://icondataset.org/ART1015test","http://icondataset.org/truth","http://icondataset.org/despair"
